Simulation	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650
1678	0	0	0	0	0.01	0.02	0.05	0.18	0.31	0.65	0.86	0.92	0.97	0.94	0.92	0.9
1679	0	0	0	0.01	0.02	0.02	0.06	0.17	0.29	0.68	0.83	0.95	0.95	0.97	0.91	0.96
1680	0	0	0	0	0.01	0.02	0.05	0.18	0.27	0.71	0.8	0.96	0.94	0.95	0.93	0.89
1681	0	0	0	0	0.01	0.02	0.05	0.19	0.27	0.7	0.85	0.96	0.96	0.95	0.93	0.91
1682	0	0	0	0.01	0.01	0.02	0.06	0.17	0.29	0.67	0.84	0.96	0.96	0.94	0.92	0.94
1683	0	0	0.01	0.01	0.01	0.02	0.05	0.18	0.29	0.68	0.83	0.95	0.97	0.95	0.92	0.94
1684	0	0	0	0.01	0.01	0.02	0.05	0.19	0.27	0.67	0.81	0.96	0.97	0.93	0.93	0.92
1685	0	0	0.01	0.01	0.01	0.03	0.06	0.18	0.26	0.7	0.79	0.95	0.96	0.93	0.93	0.96
1686	0	0	0	0	0	0.02	0.07	0.18	0.27	0.69	0.82	0.94	0.97	0.96	0.92	0.93
1687	0	0	0.01	0	0.01	0.02	0.06	0.18	0.27	0.67	0.82	0.97	0.95	0.93	0.94	0.92
1688	0	0	0	0	0	0.03	0.05	0.16	0.3	0.69	0.82	0.95	0.96	0.94	0.96	0.88
1689	0	0	0	0	0.01	0.02	0.06	0.18	0.28	0.65	0.83	0.95	0.98	0.93	0.92	0.91
1690	0	0	0	0	0.01	0.03	0.05	0.19	0.27	0.65	0.83	0.95	0.98	0.95	0.92	0.93
1691	0	0	0	0	0.01	0.02	0.05	0.19	0.29	0.69	0.83	0.96	0.96	0.98	0.92	0.91
1692	0.02	0	0	0.01	0	0.02	0.06	0.18	0.28	0.68	0.84	0.96	0.97	0.92	0.93	0.95
1693	0.01	0	0	0	0.01	0.02	0.05	0.18	0.29	0.73	0.79	0.95	0.98	0.95	0.93	0.92
1694	0	0	0	0.01	0	0.03	0.05	0.18	0.28	0.68	0.82	0.92	0.97	0.96	0.92	0.9
1695	0	0	0.01	0	0	0.02	0.05	0.17	0.3	0.68	0.82	0.94	0.97	0.94	0.92	0.95
1696	0.02	0	0	0	0.01	0.02	0.05	0.18	0.32	0.66	0.82	0.95	0.98	0.95	0.92	0.93
1697	0	0	0	0.01	0.02	0.02	0.06	0.18	0.28	0.68	0.83	0.95	0.97	0.97	0.9	0.91
1698	0	0	0	0	0.01	0.03	0.05	0.2	0.28	0.67	0.8	0.95	0.97	0.93	0.91	0.95
1699	0	0	0	0	0	0.02	0.05	0.16	0.29	0.72	0.83	0.96	0.97	0.93	0.93	0.93
1700	0	0.02	0	0.01	0	0.02	0.06	0.18	0.28	0.69	0.82	0.94	0.97	0.94	0.91	0.94
1701	0	0	0	0.01	0.01	0.02	0.06	0.19	0.26	0.69	0.81	0.95	0.96	0.95	0.92	0.93
1702	0	0	0	0	0	0.03	0.05	0.17	0.28	0.67	0.85	0.95	0.98	0.94	0.92	0.93
1703	0	0	0	0	0.01	0.02	0.05	0.19	0.26	0.69	0.82	0.95	0.97	0.93	0.94	0.93
1704	0	0	0.01	0.01	0.01	0.01	0.06	0.16	0.3	0.68	0.84	0.94	0.98	0.9	0.94	0.93
1705	0	0	0	0	0.01	0.02	0.05	0.19	0.3	0.67	0.81	0.97	0.93	0.94	0.94	0.96
1706	0	0	0	0.01	0.01	0.02	0.05	0.17	0.29	0.72	0.82	0.95	0.96	0.94	0.93	0.93
1707	0	0	0	0	0.01	0.02	0.05	0.19	0.26	0.71	0.82	0.95	0.96	0.95	0.91	0.95
1708	0	0	0	0	0.01	0.02	0.05	0.18	0.3	0.64	0.82	0.97	0.96	0.95	0.93	0.9
1709	0	0	0	0.01	0.01	0.02	0.05	0.19	0.27	0.7	0.8	0.96	0.97	0.94	0.93	0.9
1710	0	0	0	0	0.01	0.02	0.05	0.17	0.3	0.72	0.79	0.97	0.97	0.93	0.91	0.94
1711	0	0	0	0	0	0.02	0.05	0.18	0.29	0.68	0.84	0.97	0.95	0.92	0.93	0.96
1712	0	0	0.01	0	0	0.02	0.06	0.16	0.32	0.67	0.83	0.96	0.96	0.96	0.93	0.93
1713	0	0	0	0	0.02	0.03	0.05	0.17	0.28	0.7	0.81	0.96	0.95	0.95	0.96	0.89
1714	0.02	0	0	0.01	0.01	0.03	0.05	0.17	0.29	0.71	0.78	0.94	0.98	0.93	0.94	0.92
1715	0	0	0.01	0	0	0.03	0.05	0.18	0.29	0.63	0.86	0.97	0.98	0.92	0.93	0.92
1716	0	0	0	0	0.01	0.02	0.06	0.17	0.27	0.7	0.8	0.93	0.97	0.95	0.93	0.95
1717	0	0.02	0.01	0	0	0.03	0.05	0.17	0.28	0.71	0.81	0.93	0.98	0.94	0.94	0.89
1718	0	0	0	0	0.01	0.02	0.06	0.17	0.31	0.66	0.8	0.95	0.97	0.94	0.91	0.97
1719	0	0	0	0	0	0.02	0.05	0.19	0.31	0.69	0.83	0.92	0.97	0.93	0.92	0.99
1720	0	0	0.01	0	0.02	0.02	0.05	0.18	0.27	0.71	0.83	0.93	0.97	0.95	0.91	0.92
1721	0	0	0.01	0	0.01	0.03	0.05	0.18	0.32	0.67	0.82	0.95	0.98	0.94	0.9	0.96
1722	0	0	0	0.01	0	0.02	0.05	0.18	0.31	0.65	0.86	0.95	0.97	0.93	0.95	0.94
1723	0	0	0	0	0.01	0.01	0.05	0.2	0.28	0.67	0.83	0.95	0.97	0.95	0.9	0.97
1724	0	0	0	0	0.01	0.02	0.07	0.16	0.31	0.7	0.83	0.96	0.95	0.96	0.9	0.94
1725	0	0	0.01	0.01	0	0.02	0.04	0.2	0.28	0.66	0.81	0.95	0.97	0.94	0.92	0.97
1726	0	0	0	0	0.01	0.02	0.05	0.21	0.26	0.68	0.83	0.96	0.96	0.91	0.93	0.95
1727	0	0	0	0	0.01	0.02	0.06	0.18	0.29	0.67	0.82	0.95	0.96	0.94	0.93	0.95
1728	0	0	0	0	0.02	0.02	0.05	0.19	0.29	0.71	0.83	0.93	0.96	0.97	0.91	0.94
1729	0	0	0.01	0	0.01	0.03	0.05	0.19	0.25	0.75	0.82	0.93	0.97	0.95	0.94	0.92
1730	0	0	0	0.01	0.01	0.02	0.05	0.19	0.27	0.65	0.86	0.95	0.97	0.93	0.92	0.97
1731	0	0.02	0	0.01	0.01	0.03	0.05	0.19	0.27	0.68	0.87	0.93	0.95	0.97	0.92	0.9
1732	0	0	0.01	0	0	0.03	0.05	0.17	0.28	0.7	0.83	0.95	0.96	0.94	0.94	0.93
1733	0	0	0	0.01	0.01	0.02	0.06	0.18	0.26	0.69	0.83	0.95	0.98	0.94	0.92	0.93
1734	0	0	0.01	0	0.01	0.02	0.06	0.2	0.24	0.7	0.82	0.95	0.98	0.92	0.94	0.95
1735	0	0	0.01	0.01	0	0.02	0.06	0.17	0.3	0.66	0.84	0.95	0.97	0.94	0.91	0.97
1736	0	0.02	0	0.01	0.01	0.02	0.05	0.18	0.29	0.69	0.82	0.95	0.95	0.96	0.92	0.92
1737	0	0.02	0	0	0	0.02	0.06	0.18	0.3	0.7	0.78	0.96	0.98	0.95	0.93	0.92
1738	0	0	0	0	0.01	0.02	0.05	0.21	0.27	0.67	0.82	0.95	0.96	0.96	0.92	0.95
1739	0	0.02	0	0	0.01	0.04	0.05	0.18	0.27	0.66	0.84	0.96	0.98	0.94	0.91	0.94
1740	0	0	0	0.01	0	0.01	0.06	0.19	0.29	0.69	0.82	0.95	0.96	0.95	0.93	0.91
1741	0	0	0	0	0.01	0.02	0.05	0.17	0.3	0.67	0.84	0.93	0.97	0.92	0.95	0.93
1742	0	0	0	0.01	0	0.02	0.05	0.17	0.29	0.69	0.82	0.92	0.95	0.95	0.95	0.92
1743	0	0	0	0	0	0.01	0.06	0.19	0.28	0.61	0.88	0.94	0.96	0.92	0.94	0.93
1744	0	0	0	0	0.01	0.02	0.06	0.16	0.3	0.64	0.83	0.93	0.96	0.96	0.92	0.96
1745	0	0	0	0.01	0.01	0.03	0.06	0.19	0.25	0.71	0.81	0.95	0.96	0.95	0.9	0.96
1746	0	0	0.01	0	0	0.02	0.06	0.18	0.3	0.65	0.82	0.96	0.97	0.91	0.93	0.95
1747	0	0	0	0	0	0.03	0.06	0.18	0.3	0.67	0.82	0.95	0.98	0.94	0.94	0.92
1748	0	0	0.01	0	0.01	0.01	0.05	0.19	0.31	0.61	0.83	0.96	0.98	0.95	0.93	0.9
1749	0	0	0.01	0	0.02	0.02	0.06	0.16	0.3	0.71	0.84	0.95	0.97	0.93	0.91	0.92
1750	0	0	0.01	0	0.01	0.03	0.04	0.19	0.29	0.69	0.82	0.95	0.98	0.94	0.93	0.91
1751	0	0	0.01	0	0.01	0.03	0.05	0.17	0.3	0.69	0.78	0.95	0.96	0.95	0.95	0.93
1752	0	0	0.01	0.01	0	0.03	0.05	0.18	0.3	0.62	0.84	0.96	0.97	0.93	0.93	0.95
1753	0	0	0	0	0	0.02	0.05	0.18	0.29	0.67	0.82	0.95	0.95	0.93	0.96	0.92
1754	0	0	0	0	0.02	0.02	0.05	0.18	0.27	0.65	0.85	0.95	0.97	0.94	0.93	0.96
1755	0	0	0	0.01	0.02	0.02	0.06	0.17	0.28	0.69	0.8	0.95	0.97	0.94	0.92	0.94
1756	0	0	0	0.01	0	0.03	0.05	0.18	0.3	0.64	0.83	0.97	0.96	0.94	0.91	0.94
1757	0	0	0	0.01	0	0.03	0.06	0.17	0.3	0.64	0.88	0.93	0.96	0.93	0.93	0.95
1758	0	0	0	0.01	0.01	0.02	0.06	0.18	0.3	0.65	0.82	0.93	0.97	0.93	0.93	0.91
1759	0	0	0	0	0	0.03	0.05	0.19	0.27	0.67	0.83	0.95	0.98	0.95	0.91	0.95
1760	0	0	0	0.01	0	0.03	0.06	0.2	0.26	0.68	0.84	0.94	0.97	0.93	0.95	0.9
1761	0	0	0	0	0	0.03	0.06	0.16	0.28	0.68	0.84	0.93	0.98	0.94	0.89	0.96
1762	0	0	0	0.01	0	0.03	0.05	0.17	0.29	0.65	0.83	0.94	0.97	0.96	0.93	0.93
1763	0	0	0.01	0.01	0.01	0.02	0.06	0.17	0.28	0.69	0.84	0.95	0.96	0.93	0.95	0.93
1764	0	0	0.01	0.01	0	0.03	0.05	0.18	0.3	0.66	0.84	0.96	0.95	0.94	0.94	0.93
1765	0	0	0	0.01	0.01	0.01	0.05	0.19	0.27	0.69	0.82	0.95	0.96	0.94	0.92	0.95
1766	0	0	0	0	0.01	0.02	0.05	0.2	0.26	0.69	0.83	0.96	0.98	0.94	0.92	0.94
1767	0	0	0	0	0.01	0.02	0.05	0.17	0.3	0.69	0.81	0.95	0.96	0.93	0.94	0.96
1768	0	0	0	0	0.01	0.02	0.06	0.18	0.27	0.66	0.84	0.96	0.95	0.94	0.92	0.96
1769	0	0	0	0.01	0	0.02	0.06	0.17	0.3	0.68	0.8	0.95	0.96	0.93	0.92	0.95
1770	0	0	0.01	0.01	0	0.01	0.06	0.17	0.3	0.67	0.85	0.95	0.97	0.94	0.92	0.95
1771	0	0	0	0	0.01	0.02	0.06	0.18	0.26	0.72	0.84	0.96	0.97	0.93	0.93	0.95
1772	0	0	0	0	0.01	0.03	0.05	0.17	0.29	0.68	0.82	0.95	0.98	0.94	0.9	0.93
1773	0	0	0	0	0	0.02	0.05	0.19	0.27	0.67	0.85	0.94	0.96	0.96	0.95	0.96
1774	0	0	0	0	0	0.03	0.06	0.16	0.3	0.66	0.86	0.94	0.97	0.96	0.92	0.93
1775	0	0	0	0	0.01	0.02	0.06	0.18	0.29	0.67	0.83	0.96	0.95	0.95	0.91	0.97
1776	0	0	0	0	0	0.02	0.06	0.19	0.27	0.69	0.81	0.95	0.97	0.94	0.91	0.93
1777	0	0	0	0	0	0.03	0.05	0.19	0.27	0.71	0.81	0.93	0.97	0.93	0.93	0.94
1778	0	0	0	0	0	0.03	0.05	0.18	0.3	0.66	0.81	0.96	0.98	0.93	0.92	0.96
1779	0	0	0	0	0.01	0.02	0.05	0.18	0.3	0.71	0.81	0.94	0.97	0.95	0.91	0.94
1780	0	0	0	0.01	0.01	0.02	0.05	0.18	0.27	0.72	0.8	0.94	0.97	0.96	0.92	0.93
1781	0	0	0	0	0.02	0.03	0.05	0.17	0.29	0.66	0.83	0.96	0.96	0.95	0.92	0.96
1782	0	0.02	0	0.01	0	0.02	0.06	0.15	0.3	0.67	0.84	0.96	0.96	0.95	0.93	0.93
1783	0	0	0.01	0.01	0.02	0.03	0.04	0.19	0.29	0.68	0.81	0.96	0.96	0.95	0.89	0.97
1784	0	0	0	0	0.01	0.03	0.06	0.17	0.29	0.71	0.8	0.94	0.97	0.94	0.91	0.96
1785	0	0	0	0	0.03	0.02	0.06	0.18	0.3	0.68	0.85	0.96	0.96	0.92	0.94	0.93
1786	0	0	0	0	0.01	0.02	0.05	0.17	0.29	0.68	0.86	0.94	0.97	0.94	0.92	0.97
1787	0	0	0	0.01	0	0.03	0.05	0.18	0.27	0.69	0.82	0.94	0.97	0.96	0.92	0.93
1788	0	0	0	0	0.01	0.03	0.05	0.16	0.29	0.66	0.87	0.97	0.95	0.94	0.94	0.96
1789	0	0	0	0.01	0.01	0.02	0.05	0.18	0.27	0.69	0.83	0.95	0.98	0.94	0.92	0.94
1790	0	0	0	0	0.01	0.03	0.05	0.17	0.29	0.67	0.83	0.97	0.95	0.94	0.91	0.96
1791	0	0	0	0.01	0	0.03	0.04	0.19	0.26	0.7	0.83	0.97	0.97	0.94	0.91	0.92
1792	0	0.02	0	0	0	0.02	0.06	0.17	0.28	0.68	0.83	0.95	0.97	0.92	0.96	0.89
1793	0	0	0	0.01	0	0.03	0.05	0.2	0.27	0.71	0.8	0.95	0.96	0.93	0.93	0.94
1794	0	0	0.01	0.01	0.02	0.02	0.05	0.17	0.27	0.68	0.83	0.94	0.97	0.95	0.91	0.95
1795	0	0	0	0	0.01	0.03	0.05	0.18	0.29	0.69	0.83	0.94	0.97	0.93	0.94	0.93
1796	0	0	0	0	0.02	0.02	0.05	0.18	0.27	0.69	0.82	0.95	0.98	0.91	0.92	0.94
1797	0	0	0.01	0	0.01	0.02	0.05	0.17	0.29	0.7	0.8	0.96	0.98	0.97	0.89	0.96
1798	0	0	0	0	0.01	0.03	0.05	0.18	0.29	0.66	0.84	0.95	0.94	0.95	0.93	0.94
1799	0	0	0.01	0	0.01	0.02	0.06	0.15	0.31	0.67	0.82	0.96	0.96	0.93	0.94	0.92
1800	0	0	0	0	0.01	0.02	0.07	0.17	0.27	0.69	0.85	0.93	0.95	0.93	0.96	0.94
1801	0	0	0	0.01	0	0.02	0.05	0.2	0.29	0.65	0.83	0.96	0.96	0.93	0.93	0.94
1802	0	0	0	0.01	0	0.03	0.05	0.18	0.3	0.66	0.81	0.95	0.95	0.96	0.92	0.98
1803	0	0	0	0	0.01	0.03	0.04	0.17	0.32	0.64	0.86	0.94	0.97	0.94	0.93	0.95
1804	0	0	0	0.01	0.01	0.02	0.05	0.18	0.29	0.7	0.81	0.96	0.96	0.96	0.92	0.89
1805	0	0	0	0	0.02	0.03	0.05	0.18	0.28	0.64	0.83	0.95	0.98	0.93	0.93	0.92
1806	0	0	0	0	0.01	0.02	0.06	0.18	0.27	0.66	0.82	0.96	0.96	0.93	0.92	0.92
1807	0	0	0	0	0	0.03	0.06	0.18	0.29	0.66	0.86	0.95	0.97	0.92	0.92	0.9
1808	0	0.02	0	0.01	0.02	0.02	0.05	0.17	0.31	0.69	0.83	0.94	0.98	0.92	0.95	0.92
1809	0	0	0	0	0.01	0.03	0.05	0.19	0.26	0.74	0.78	0.96	0.96	0.94	0.94	0.92
1810	0	0	0	0	0.01	0.02	0.06	0.17	0.31	0.67	0.84	0.96	0.97	0.94	0.93	0.9
1811	0	0	0.01	0	0.01	0.02	0.06	0.17	0.28	0.69	0.8	0.97	0.97	0.95	0.9	0.96
1812	0	0	0	0	0	0.02	0.05	0.16	0.3	0.67	0.83	0.95	0.98	0.93	0.91	0.96
1813	0	0	0	0	0.02	0.03	0.06	0.19	0.25	0.68	0.82	0.96	0.95	0.96	0.93	0.96
1814	0	0	0	0.01	0.01	0.02	0.05	0.19	0.28	0.68	0.84	0.94	0.97	0.94	0.93	0.95
1815	0	0	0.01	0	0	0.01	0.06	0.19	0.29	0.68	0.86	0.93	0.97	0.95	0.9	0.94
1816	0.02	0	0	0	0	0.02	0.06	0.19	0.26	0.71	0.82	0.96	0.97	0.93	0.91	0.95
1817	0	0	0	0	0.01	0.02	0.05	0.17	0.3	0.66	0.85	0.96	0.98	0.94	0.91	0.93
1818	0	0	0	0	0.01	0.02	0.06	0.19	0.28	0.65	0.81	0.95	0.99	0.92	0.93	0.93
1819	0	0	0	0	0.02	0.03	0.06	0.18	0.27	0.69	0.82	0.92	0.96	0.96	0.91	0.94
1820	0	0	0.01	0.01	0.01	0.03	0.05	0.18	0.3	0.67	0.85	0.94	0.99	0.93	0.91	0.94
1821	0	0	0	0.01	0.01	0.02	0.05	0.18	0.28	0.71	0.8	0.94	0.97	0.94	0.91	0.93
1822	0	0	0	0.01	0.01	0.02	0.05	0.18	0.3	0.67	0.83	0.94	0.96	0.95	0.89	0.95
1823	0	0	0.01	0	0.01	0.02	0.05	0.19	0.29	0.65	0.84	0.95	0.96	0.92	0.95	0.96
1824	0	0	0	0.01	0	0.02	0.06	0.18	0.28	0.68	0.81	0.96	0.97	0.92	0.92	0.98
1825	0	0	0	0	0.01	0.02	0.06	0.19	0.26	0.63	0.86	0.95	0.98	0.94	0.91	0.95
1826	0	0	0	0.01	0	0.02	0.06	0.2	0.27	0.69	0.83	0.95	0.97	0.94	0.92	0.95
1827	0	0	0.01	0	0.01	0.03	0.06	0.16	0.29	0.66	0.84	0.95	0.97	0.95	0.94	0.9
1828	0	0	0	0.01	0	0.02	0.06	0.18	0.27	0.67	0.87	0.95	0.98	0.93	0.93	0.95
1829	0	0	0	0	0	0.03	0.05	0.18	0.28	0.67	0.83	0.95	0.96	0.97	0.89	0.95
1830	0	0	0	0.01	0.01	0.02	0.05	0.18	0.29	0.65	0.87	0.94	0.97	0.96	0.92	0.91
1831	0	0	0.01	0.01	0.01	0.02	0.05	0.19	0.28	0.69	0.84	0.94	0.97	0.95	0.9	0.94
1832	0	0	0.01	0	0.01	0.03	0.05	0.18	0.29	0.71	0.77	0.95	0.97	0.93	0.94	0.95
1833	0	0	0	0.01	0	0.03	0.05	0.18	0.28	0.71	0.81	0.94	0.96	0.95	0.92	0.95
1834	0	0	0	0	0.01	0.02	0.06	0.19	0.28	0.71	0.78	0.97	0.98	0.94	0.94	0.91
1835	0	0	0	0	0	0.02	0.06	0.19	0.29	0.67	0.79	0.94	0.97	0.96	0.92	0.92
1836	0	0	0.01	0.01	0.02	0.02	0.05	0.17	0.28	0.7	0.82	0.96	0.97	0.94	0.92	0.95
1837	0	0	0.01	0	0.02	0.02	0.06	0.16	0.29	0.68	0.84	0.95	0.98	0.92	0.91	0.97
1838	0	0	0	0	0.01	0.02	0.06	0.18	0.28	0.65	0.86	0.94	0.96	0.96	0.92	0.92
1839	0	0	0	0	0.01	0.02	0.04	0.19	0.28	0.7	0.81	0.95	0.97	0.94	0.9	0.94
1840	0	0	0	0	0.02	0.03	0.05	0.18	0.27	0.61	0.86	0.95	0.95	0.95	0.92	0.91
1841	0	0	0	0	0.01	0.02	0.05	0.2	0.27	0.67	0.81	0.95	0.97	0.95	0.92	0.92
1842	0	0	0	0	0	0.02	0.05	0.17	0.31	0.68	0.79	0.96	0.95	0.93	0.93	0.94
1843	0	0	0	0	0	0.02	0.05	0.18	0.3	0.68	0.82	0.94	0.98	0.94	0.94	0.92
1844	0	0	0	0	0.01	0.02	0.06	0.21	0.25	0.7	0.82	0.93	0.96	0.96	0.94	0.92
1845	0	0	0	0	0.01	0.02	0.06	0.17	0.29	0.69	0.83	0.95	0.95	0.95	0.94	0.93
1846	0	0	0	0.01	0.02	0.02	0.05	0.16	0.32	0.65	0.83	0.94	0.98	0.96	0.91	0.93
1847	0	0	0	0	0.02	0.02	0.05	0.18	0.27	0.68	0.86	0.93	0.99	0.95	0.91	0.95
1848	0	0.02	0	0	0.01	0.02	0.07	0.16	0.3	0.66	0.82	0.95	0.96	0.95	0.94	0.9
1849	0	0	0	0.01	0.01	0.02	0.06	0.16	0.3	0.71	0.82	0.94	0.97	0.93	0.93	0.94
1850	0	0	0	0	0.01	0.02	0.05	0.18	0.28	0.66	0.86	0.94	0.96	0.94	0.9	0.96
1851	0	0	0	0	0	0.03	0.05	0.19	0.25	0.74	0.79	0.95	0.97	0.94	0.94	0.91
1852	0	0	0	0.01	0	0.03	0.05	0.18	0.29	0.65	0.82	0.96	0.97	0.93	0.93	0.95
1853	0	0	0	0	0.01	0.02	0.05	0.18	0.3	0.65	0.85	0.94	0.97	0.95	0.94	0.94
1854	0	0	0	0.01	0	0.03	0.05	0.18	0.29	0.67	0.84	0.95	0.97	0.95	0.91	0.96
1855	0	0	0.01	0	0	0.02	0.05	0.18	0.29	0.68	0.82	0.97	0.95	0.94	0.95	0.92
1856	0	0	0.01	0	0.01	0.01	0.05	0.18	0.28	0.72	0.84	0.97	0.97	0.96	0.92	0.9
1857	0	0	0.01	0	0.01	0.01	0.06	0.19	0.27	0.67	0.82	0.95	0.95	0.93	0.94	0.95
1858	0.02	0	0.01	0	0.01	0.01	0.06	0.2	0.27	0.67	0.8	0.93	0.99	0.94	0.94	0.96
1859	0	0	0	0	0.02	0.02	0.04	0.2	0.3	0.67	0.8	0.93	0.98	0.94	0.93	0.93
1860	0	0	0	0.01	0.01	0.03	0.06	0.16	0.27	0.68	0.84	0.93	0.97	0.93	0.95	0.96
1861	0	0	0	0.01	0.01	0.02	0.05	0.17	0.3	0.69	0.81	0.95	0.96	0.93	0.95	0.91
1862	0	0	0	0	0.01	0.02	0.05	0.2	0.29	0.61	0.85	0.97	0.94	0.95	0.94	0.93
1863	0	0	0	0	0.01	0.02	0.05	0.17	0.29	0.66	0.84	0.96	0.97	0.95	0.9	0.97
1864	0	0	0	0	0	0.02	0.06	0.17	0.29	0.67	0.87	0.95	0.97	0.95	0.89	0.94
1865	0	0	0	0.01	0	0.03	0.06	0.18	0.27	0.68	0.84	0.93	0.98	0.92	0.91	0.94
1866	0	0	0	0	0	0.02	0.06	0.18	0.27	0.67	0.81	0.97	0.96	0.95	0.92	0.93
1867	0	0	0	0	0	0.03	0.06	0.17	0.32	0.64	0.84	0.95	0.96	0.93	0.92	0.98
1868	0	0	0	0	0.01	0.02	0.06	0.18	0.3	0.66	0.82	0.94	0.98	0.91	0.94	0.95
1869	0	0	0	0	0.01	0.02	0.05	0.18	0.27	0.7	0.84	0.93	0.97	0.95	0.9	0.97
1870	0	0	0	0	0	0.03	0.05	0.18	0.32	0.67	0.81	0.94	0.96	0.94	0.94	0.91
1871	0	0	0	0.01	0	0.02	0.05	0.2	0.27	0.66	0.83	0.94	0.97	0.94	0.9	1
1872	0	0	0.01	0	0	0.02	0.07	0.17	0.27	0.67	0.82	0.98	0.97	0.93	0.93	0.94
1873	0	0	0	0.01	0.01	0.02	0.07	0.19	0.27	0.68	0.84	0.95	0.98	0.93	0.93	0.95
1874	0	0	0	0.01	0.01	0.03	0.06	0.18	0.25	0.66	0.86	0.95	0.96	0.96	0.92	0.94
1875	0	0	0	0	0.01	0.03	0.04	0.19	0.29	0.7	0.8	0.95	0.96	0.94	0.93	0.93
1876	0	0	0.01	0	0	0.02	0.06	0.17	0.29	0.69	0.83	0.95	0.97	0.96	0.9	0.88
1877	0	0.02	0	0	0	0.03	0.05	0.17	0.3	0.7	0.81	0.94	0.97	0.94	0.9	0.97
1878	0	0	0	0	0	0.02	0.06	0.17	0.3	0.67	0.81	0.95	0.97	0.94	0.94	0.92
1879	0	0	0	0.01	0.01	0.02	0.06	0.18	0.28	0.69	0.83	0.95	0.98	0.93	0.92	0.96
1880	0	0	0	0	0.01	0.02	0.05	0.18	0.28	0.69	0.81	0.97	0.97	0.96	0.92	0.92
1881	0	0	0	0	0	0.02	0.05	0.18	0.27	0.71	0.8	0.96	0.95	0.93	0.94	0.94
1882	0	0	0	0.01	0	0.02	0.06	0.2	0.28	0.67	0.82	0.94	0.98	0.94	0.93	0.93
1883	0	0	0	0.01	0	0.02	0.05	0.17	0.29	0.66	0.86	0.96	0.95	0.96	0.92	0.94
1884	0	0	0	0	0	0.03	0.05	0.18	0.3	0.7	0.81	0.96	0.97	0.95	0.93	0.9
1885	0	0	0	0	0.01	0.02	0.06	0.17	0.28	0.71	0.79	0.94	0.97	0.93	0.95	0.94
1886	0	0	0.01	0.01	0.01	0.02	0.07	0.19	0.26	0.66	0.84	0.96	0.96	0.91	0.96	0.92
1887	0	0	0	0	0.01	0.02	0.05	0.18	0.3	0.73	0.8	0.94	0.97	0.92	0.95	0.93
1888	0	0	0	0	0	0.02	0.05	0.19	0.28	0.67	0.82	0.95	0.98	0.93	0.92	0.95
1889	0	0	0	0.01	0.01	0.02	0.06	0.18	0.29	0.7	0.86	0.95	0.96	0.95	0.91	0.95
1890	0	0	0	0	0.01	0.02	0.05	0.18	0.28	0.7	0.81	0.94	0.97	0.95	0.91	0.96
1891	0	0	0	0	0.01	0.02	0.06	0.17	0.3	0.67	0.84	0.94	0.97	0.94	0.91	0.95
1892	0	0	0.01	0	0	0.02	0.05	0.19	0.27	0.7	0.83	0.95	0.97	0.95	0.93	0.91
1893	0	0	0	0.01	0.01	0.02	0.06	0.18	0.28	0.69	0.79	0.94	0.98	0.94	0.92	0.96
1894	0	0	0	0.01	0	0.03	0.06	0.17	0.28	0.71	0.83	0.94	0.97	0.95	0.92	0.95
1895	0	0	0.01	0.01	0	0.03	0.04	0.18	0.28	0.73	0.82	0.95	0.95	0.95	0.92	0.94
1896	0	0	0	0	0.01	0.03	0.04	0.2	0.25	0.69	0.8	0.96	0.96	0.94	0.92	0.92
1897	0	0	0	0	0.02	0.02	0.05	0.2	0.27	0.68	0.83	0.93	0.95	0.95	0.92	0.94
1898	0	0	0	0.01	0	0.02	0.06	0.17	0.28	0.68	0.84	0.95	0.96	0.93	0.94	0.93
1899	0	0	0	0.01	0	0.03	0.05	0.19	0.28	0.68	0.85	0.93	0.97	0.94	0.94	0.93
1900	0	0	0.01	0	0	0.03	0.06	0.15	0.31	0.62	0.85	0.94	0.96	0.98	0.89	0.94
1901	0	0	0.01	0	0	0.02	0.05	0.19	0.29	0.67	0.83	0.95	0.97	0.95	0.92	0.92
1902	0	0	0	0.01	0.01	0.03	0.05	0.17	0.28	0.68	0.83	0.95	0.96	0.93	0.95	0.93
1903	0	0	0	0.01	0.01	0.02	0.05	0.16	0.31	0.69	0.82	0.94	0.96	0.91	0.93	0.94
1904	0	0	0	0	0.01	0.03	0.05	0.18	0.27	0.66	0.83	0.96	0.96	0.95	0.93	0.91
1905	0	0	0	0	0	0.02	0.06	0.19	0.28	0.7	0.81	0.93	0.97	0.96	0.93	0.91
1906	0	0	0	0	0	0.03	0.05	0.19	0.28	0.71	0.83	0.95	0.96	0.93	0.92	0.93
1907	0	0	0	0.01	0	0.02	0.05	0.18	0.27	0.69	0.82	0.96	0.97	0.94	0.93	0.94
1908	0	0	0	0	0	0.02	0.06	0.18	0.27	0.63	0.82	0.96	0.96	0.95	0.94	0.92
1909	0	0	0.01	0	0.01	0.03	0.05	0.17	0.29	0.69	0.83	0.96	0.97	0.94	0.89	0.99
1910	0	0	0	0	0	0.03	0.05	0.2	0.26	0.65	0.86	0.93	0.97	0.95	0.93	0.92
1911	0	0	0	0	0.01	0.02	0.06	0.19	0.26	0.68	0.84	0.96	0.95	0.96	0.92	0.93
