Simulation	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650
54	0	0	0	0	0	0.03	0.05	0.16	0.31	0.69	0.83	0.92	0.97	0.93	0.92	0.96
55	0	0	0.01	0	0.01	0.01	0.05	0.19	0.26	0.71	0.83	0.95	0.96	0.92	0.95	0.92
56	0	0	0	0	0	0.02	0.06	0.19	0.29	0.67	0.82	0.96	0.95	0.92	0.95	0.88
57	0	0	0	0	0	0.02	0.06	0.18	0.28	0.7	0.81	0.96	0.96	0.94	0.94	0.91
58	0	0	0	0	0.02	0.02	0.06	0.17	0.28	0.7	0.81	0.95	0.98	0.97	0.89	0.93
59	0	0	0.01	0	0	0.03	0.05	0.17	0.27	0.69	0.82	0.96	0.96	0.95	0.93	0.92
60	0	0	0	0	0.02	0.03	0.05	0.17	0.3	0.67	0.82	0.94	0.97	0.95	0.93	0.91
61	0	0	0	0.01	0	0.02	0.07	0.17	0.28	0.69	0.81	0.94	0.97	0.93	0.95	0.91
62	0	0	0	0	0	0.02	0.06	0.17	0.28	0.69	0.8	0.96	0.99	0.94	0.91	0.95
63	0	0	0	0	0.01	0.03	0.05	0.18	0.28	0.69	0.78	0.96	0.97	0.93	0.92	0.94
64	0	0	0.01	0	0	0.03	0.04	0.19	0.29	0.71	0.82	0.96	0.98	0.93	0.88	0.99
65	0	0	0	0	0.03	0.01	0.04	0.2	0.29	0.66	0.84	0.95	0.96	0.95	0.94	0.91
66	0	0	0	0.01	0.01	0.02	0.05	0.19	0.26	0.68	0.83	0.97	0.98	0.93	0.9	0.93
67	0	0	0	0	0	0.02	0.06	0.2	0.27	0.71	0.81	0.94	0.98	0.91	0.94	0.9
68	0	0	0	0	0.01	0.03	0.06	0.18	0.26	0.68	0.82	0.96	0.96	0.96	0.92	0.93
69	0	0.02	0	0	0	0.03	0.05	0.19	0.28	0.66	0.84	0.96	0.95	0.94	0.92	0.93
70	0	0	0	0.01	0	0.01	0.06	0.2	0.26	0.67	0.81	0.94	0.97	0.94	0.94	0.92
71	0.02	0	0	0	0.01	0.01	0.06	0.18	0.28	0.68	0.85	0.96	0.96	0.94	0.94	0.95
72	0	0	0	0.01	0.01	0.02	0.07	0.16	0.31	0.64	0.83	0.94	0.98	0.92	0.94	0.93
73	0	0	0.01	0	0.01	0.02	0.06	0.17	0.29	0.69	0.86	0.95	0.96	0.95	0.89	0.96
74	0	0	0.01	0	0	0.03	0.06	0.17	0.28	0.64	0.84	0.94	0.98	0.95	0.89	0.95
75	0	0	0	0	0.01	0.02	0.05	0.2	0.27	0.66	0.82	0.96	0.96	0.95	0.94	0.91
76	0	0	0	0	0	0.02	0.06	0.18	0.29	0.69	0.8	0.94	0.98	0.93	0.91	0.95
77	0	0	0	0.01	0	0.02	0.06	0.19	0.27	0.7	0.83	0.96	0.96	0.92	0.95	0.93
78	0	0	0	0	0.01	0.02	0.06	0.21	0.26	0.68	0.82	0.95	0.99	0.94	0.92	0.95
79	0	0	0	0	0.01	0.03	0.05	0.19	0.27	0.71	0.83	0.93	0.97	0.95	0.91	0.94
80	0	0	0	0	0.01	0.02	0.06	0.17	0.29	0.68	0.83	0.95	0.98	0.96	0.9	0.94
81	0	0	0.01	0.01	0.01	0.03	0.05	0.17	0.28	0.69	0.84	0.95	0.96	0.94	0.94	0.93
82	0	0	0	0	0.01	0.02	0.06	0.19	0.28	0.67	0.79	0.95	0.97	0.94	0.91	0.94
83	0	0.02	0	0	0.01	0.02	0.06	0.16	0.3	0.69	0.81	0.93	0.98	0.96	0.9	0.94
84	0	0	0	0	0.02	0.03	0.06	0.18	0.26	0.73	0.8	0.96	0.97	0.95	0.91	0.88
85	0	0	0	0	0.01	0.02	0.05	0.18	0.3	0.69	0.85	0.92	0.98	0.93	0.92	0.95
86	0	0	0	0	0.01	0.01	0.05	0.19	0.27	0.65	0.83	0.97	0.95	0.96	0.92	0.94
87	0	0	0.01	0	0.01	0.03	0.05	0.17	0.3	0.65	0.82	0.94	0.96	0.96	0.95	0.9
88	0	0.02	0	0	0.01	0.03	0.05	0.18	0.29	0.67	0.83	0.95	0.98	0.96	0.92	0.95
89	0	0	0	0	0.01	0.02	0.06	0.16	0.29	0.71	0.81	0.96	0.95	0.95	0.92	0.96
90	0	0	0	0	0.01	0.02	0.04	0.2	0.28	0.7	0.83	0.94	0.97	0.95	0.92	0.93
91	0	0	0	0	0	0.03	0.05	0.19	0.25	0.72	0.82	0.96	0.96	0.94	0.92	0.93
92	0	0	0	0.01	0	0.02	0.05	0.17	0.31	0.66	0.8	0.97	0.98	0.93	0.92	0.94
93	0	0	0.01	0	0.01	0.02	0.05	0.2	0.27	0.64	0.84	0.95	0.97	0.95	0.91	0.94
94	0	0.02	0	0	0.01	0.02	0.06	0.18	0.27	0.69	0.81	0.94	0.97	0.93	0.95	0.93
95	0	0	0	0	0.01	0.03	0.05	0.18	0.3	0.69	0.84	0.92	0.97	0.94	0.93	0.92
96	0	0	0	0	0.02	0.02	0.05	0.18	0.29	0.67	0.84	0.95	0.96	0.95	0.94	0.9
97	0	0	0	0	0	0.02	0.05	0.18	0.3	0.7	0.81	0.96	0.96	0.92	0.94	0.94
98	0	0	0	0	0.01	0.03	0.05	0.18	0.28	0.65	0.83	0.95	0.98	0.95	0.91	0.96
99	0	0	0	0	0.01	0.02	0.05	0.18	0.29	0.69	0.81	0.95	0.98	0.93	0.9	0.99
100	0	0	0	0	0	0.02	0.07	0.17	0.29	0.7	0.82	0.94	0.95	0.94	0.95	0.93
101	0	0	0	0.01	0	0.02	0.05	0.18	0.3	0.68	0.87	0.95	0.97	0.93	0.95	0.89
102	0	0	0	0	0	0.02	0.05	0.16	0.32	0.7	0.82	0.93	0.97	0.96	0.9	0.94
103	0	0	0.01	0	0.02	0.01	0.06	0.18	0.28	0.69	0.83	0.92	0.99	0.92	0.93	0.91
104	0	0	0.01	0	0	0.02	0.05	0.18	0.28	0.7	0.82	0.96	0.96	0.95	0.92	0.93
105	0	0	0	0	0.01	0.03	0.04	0.19	0.28	0.7	0.79	0.95	0.97	0.94	0.92	0.95
106	0	0.02	0	0	0.01	0.02	0.05	0.19	0.27	0.66	0.8	0.96	0.97	0.93	0.92	0.94
