Simulation	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650
1	0	0	0	0	0	0.01	0.01	0.13	0.21	0.45	0.85	0.97	0.97	0.92	0.9	1
2	0	0	0	0	0	0.01	0.03	0.12	0.18	0.63	0.73	0.9	1	0.88	0.91	0.88
3	0	0	0	0	0	0.01	0.02	0.16	0.15	0.63	0.7	1	1	0.88	0.92	1
4	0	0	0	0	0	0.01	0.01	0.14	0.17	0.54	0.81	0.97	0.97	0.91	0.86	1
5	0	0	0	0	0	0.01	0.03	0.11	0.2	0.59	0.67	1	1	0.91	0.89	0.9
6	0	0	0	0	0	0.01	0.02	0.15	0.14	0.61	0.69	1	0.96	0.93	0.85	1
7	0	0	0	0	0	0.01	0.02	0.15	0.17	0.44	0.82	0.94	1	0.89	0.95	0.89
8	0	0	0	0	0	0.01	0.01	0.09	0.33	0.46	0.81	0.97	1	0.88	0.9	1
9	0	0	0	0	0	0.01	0.01	0.13	0.18	0.52	0.88	0.91	0.96	0.88	1	0.92
10	0	0	0	0	0.01	0.01	0	0.15	0.17	0.59	0.81	0.96	1	0.86	0.86	1
11	0	0	0	0	0	0.01	0.02	0.15	0.13	0.55	0.79	1	0.96	1	0.82	1
12	0	0	0	0	0	0.01	0.01	0.17	0.18	0.53	0.76	0.94	1	0.86	0.94	0.88
13	0	0	0	0	0	0	0.02	0.11	0.24	0.38	0.83	1	0.97	1	0.84	0.86
14	0	0	0	0	0	0.01	0.02	0.13	0.21	0.52	0.64	0.97	0.97	0.95	0.89	0.88
15	0	0	0	0.01	0	0	0.03	0.08	0.2	0.52	0.81	0.97	0.97	0.96	0.81	1
16	0	0	0	0	0	0	0.02	0.16	0.13	0.54	0.82	0.93	1	0.93	0.93	0.89
17	0	0	0	0	0	0	0.02	0.13	0.19	0.57	0.76	0.97	0.97	0.9	0.88	1
18	0	0	0	0	0	0.01	0.01	0.16	0.21	0.61	0.69	0.94	0.97	0.96	0.85	0.9
19	0	0	0	0	0.01	0	0.03	0.11	0.19	0.69	0.71	0.94	1	0.89	0.91	1
20	0	0	0	0	0	0	0.03	0.09	0.23	0.5	0.79	0.96	0.97	0.92	0.87	1
21	0	0	0	0	0.01	0	0.02	0.1	0.21	0.64	0.81	0.93	1	0.87	0.94	0.89
22	0	0	0	0	0.01	0.01	0.02	0.09	0.19	0.55	0.81	1	1	0.89	0.85	1
23	0	0	0	0	0.01	0	0.02	0.12	0.22	0.38	0.83	0.97	0.97	0.95	0.81	1
24	0	0	0	0	0.01	0	0.03	0.12	0.17	0.57	0.83	0.93	0.97	0.91	0.85	1
25	0	0	0	0	0.01	0	0.01	0.14	0.19	0.45	0.74	0.97	1	0.88	0.91	0.86
26	0	0	0	0	0.01	0.01	0.02	0.1	0.2	0.56	0.74	0.92	1	0.89	0.95	0.89
27	0	0	0	0	0	0	0.02	0.11	0.23	0.48	0.81	1	0.97	0.89	0.96	0.75
28	0	0	0	0	0	0.01	0.02	0.13	0.2	0.42	0.77	0.92	0.97	0.9	0.94	1
29	0	0	0	0	0	0	0.02	0.12	0.21	0.61	0.84	0.97	1	0.92	0.84	1
30	0	0	0	0	0	0.01	0.02	0.14	0.17	0.52	0.82	1	0.94	0.94	0.85	1
31	0	0	0	0	0	0	0.01	0.1	0.21	0.54	0.81	0.97	1	0.92	0.86	1
32	0	0	0	0	0	0.01	0.02	0.14	0.19	0.53	0.86	0.97	0.96	0.92	0.82	1
33	0	0	0	0	0	0	0.01	0.1	0.25	0.59	0.81	0.91	1	0.94	0.87	1
34	0	0	0	0	0	0	0.02	0.1	0.22	0.34	0.88	1	0.97	0.94	0.89	0.86
35	0	0	0	0	0	0.01	0.02	0.11	0.18	0.52	0.8	0.96	0.96	0.96	0.86	1
36	0	0	0	0	0	0	0.03	0.15	0.13	0.52	0.78	0.97	1	0.88	0.86	1
37	0	0	0	0	0.01	0.01	0.01	0.14	0.19	0.46	0.79	0.97	1	0.91	0.88	0.91
38	0	0	0	0	0	0	0.02	0.14	0.18	0.61	0.65	1	0.97	0.91	0.95	0.88
39	0	0	0	0	0	0.01	0.02	0.14	0.14	0.52	0.74	1	1	0.83	0.96	0.86
40	0	0	0	0	0	0	0.02	0.15	0.16	0.52	0.83	1	1	0.94	0.85	0.83
41	0	0	0	0	0	0	0.01	0.15	0.13	0.49	0.86	0.97	0.97	0.96	0.8	1
42	0	0	0	0	0	0.01	0.02	0.1	0.21	0.43	0.88	1	0.97	0.95	0.86	1
43	0	0	0	0	0	0	0.03	0.13	0.19	0.43	0.88	1	0.94	0.78	1	1
44	0	0	0	0	0	0.01	0.01	0.12	0.21	0.41	0.83	1	0.97	0.89	1	0.83
45	0	0	0	0	0	0.01	0.02	0.16	0.14	0.57	0.86	0.91	1	0.84	1	0.92
46	0	0	0	0	0.01	0	0.01	0.16	0.18	0.56	0.73	0.97	1	0.91	0.89	1
47	0	0	0	0	0	0	0.02	0.12	0.21	0.44	0.82	1	1	0.88	0.86	1
48	0	0	0	0	0.01	0.02	0.02	0.1	0.22	0.52	0.78	0.94	0.97	0.9	1	0.78
49	0	0	0	0	0	0.01	0	0.15	0.18	0.54	0.75	0.97	0.94	0.9	1	0.75
50	0	0	0	0	0	0	0.03	0.09	0.24	0.54	0.76	1	1	0.89	0.95	0.75
51	0	0	0	0	0	0	0.02	0.12	0.21	0.38	0.87	0.97	0.96	0.9	0.95	0.83
52	0	0	0	0	0	0.01	0.02	0.09	0.22	0.53	0.84	0.96	1	0.88	0.88	1
53	0	0	0	0	0	0	0.02	0.11	0.25	0.46	0.84	0.97	1	1	0.86	0.88
54	0	0	0	0	0	0	0.03	0.13	0.18	0.55	0.74	0.97	1	0.86	0.94	0.88
55	0	0	0	0	0.01	0	0.02	0.16	0.17	0.46	0.76	0.96	1	0.9	0.87	0.88
56	0	0	0	0	0	0.01	0.03	0.11	0.18	0.67	0.78	0.93	0.98	0.88	1	0.86
57	0	0	0	0	0	0	0.02	0.13	0.24	0.58	0.69	0.97	1	0.9	0.82	1
58	0	0	0	0	0	0.01	0.02	0.1	0.24	0.44	0.77	1	1	0.95	0.82	0.89
59	0	0	0	0	0	0.01	0.02	0.1	0.24	0.5	0.81	1	1	0.84	0.9	0.9
60	0	0	0	0	0	0.01	0.02	0.08	0.24	0.53	0.71	0.94	1	1	0.64	1
61	0	0	0	0	0	0	0.02	0.15	0.16	0.53	0.83	1	1	0.84	0.93	0.89
62	0	0	0	0	0	0.01	0.03	0.1	0.23	0.61	0.86	0.96	0.97	1	0.83	1
63	0	0	0	0	0.01	0.01	0.01	0.09	0.28	0.6	0.82	0.94	0.97	0.9	0.88	1
64	0	0	0	0	0.01	0	0.01	0.14	0.18	0.65	0.78	0.97	1	0.94	0.82	1
65	0	0	0	0	0	0.01	0.02	0.13	0.17	0.59	0.82	0.97	0.97	0.89	0.87	1
66	0	0	0	0	0	0.01	0.02	0.12	0.17	0.68	0.79	0.97	0.97	0.95	0.88	0.9
67	0	0	0	0	0	0	0.01	0.13	0.22	0.46	0.87	1	1	0.96	0.83	0.89
68	0	0	0	0	0.01	0.01	0.02	0.1	0.19	0.61	0.75	0.93	1	0.96	0.77	1
69	0	0	0	0	0	0.01	0.02	0.15	0.18	0.54	0.74	0.92	1	0.91	0.88	1
70	0	0	0	0	0.01	0	0.02	0.12	0.21	0.59	0.85	0.91	1	0.92	0.86	1
71	0	0	0	0	0	0.01	0.03	0.12	0.16	0.5	0.83	0.93	0.93	1	0.92	0.91
72	0	0	0	0	0	0	0.03	0.11	0.19	0.5	0.74	0.97	1	1	0.78	1
73	0	0	0	0	0	0.01	0.01	0.12	0.21	0.53	0.85	0.94	1	0.83	0.9	1
74	0	0	0	0	0	0.01	0.01	0.13	0.21	0.52	0.79	1	0.97	0.85	0.94	1
75	0	0	0	0	0	0.01	0.02	0.11	0.21	0.47	0.8	0.97	0.97	0.9	0.93	0.86
76	0	0	0	0	0.01	0	0.01	0.1	0.24	0.54	0.89	1	0.96	0.84	0.95	0.88
77	0	0	0	0	0	0	0.02	0.15	0.18	0.45	0.76	0.97	1	0.9	0.84	1
78	0	0	0	0	0	0.01	0.02	0.11	0.19	0.48	0.73	1	0.96	0.95	0.84	1
79	0	0	0	0	0	0.01	0.02	0.11	0.22	0.39	0.9	0.97	0.97	0.94	0.86	1
80	0	0	0	0	0.02	0	0.03	0.13	0.14	0.53	0.84	0.97	0.94	1	0.88	0.83
81	0	0	0	0	0	0	0.03	0.13	0.17	0.54	0.81	0.97	1	0.84	1	0.91
82	0	0	0	0	0.01	0.01	0.01	0.12	0.2	0.56	0.75	0.96	0.97	0.95	0.91	0.88
83	0	0	0	0	0	0.01	0.02	0.13	0.16	0.54	0.78	1	1	0.88	1	0.78
