Simulation	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650
84	0	0	0	0	0	0.01	0.02	0.14	0.18	0.52	0.74	0.94	0.97	1	0.91	0.83
85	0	0	0	0	0.01	0.01	0.02	0.07	0.25	0.55	0.8	0.97	0.97	0.96	0.85	1
86	0	0	0	0	0	0.01	0.02	0.12	0.17	0.55	0.84	0.93	0.97	0.95	0.84	1
87	0	0	0	0	0	0.01	0.01	0.15	0.13	0.56	0.77	0.97	0.97	0.86	1	0.89
88	0	0	0	0	0	0.02	0.02	0.13	0.14	0.38	0.9	1	1	0.88	0.89	1
89	0	0	0	0	0	0.01	0.02	0.11	0.21	0.62	0.8	1	1	0.86	0.88	1
90	0	0	0	0	0.01	0.01	0.01	0.13	0.16	0.53	0.75	1	0.97	0.9	0.94	0.9
91	0	0	0	0	0	0.01	0.02	0.13	0.18	0.57	0.82	0.94	0.97	0.9	0.9	1
92	0	0	0	0	0	0.01	0.02	0.11	0.2	0.57	0.74	0.95	0.97	0.93	0.92	1
93	0	0	0	0	0	0.01	0.02	0.13	0.16	0.55	0.86	1	0.97	0.95	0.89	0.9
94	0	0	0	0	0	0.01	0.01	0.13	0.23	0.46	0.8	0.97	1	1	0.85	0.88
95	0	0	0	0	0	0.02	0.02	0.08	0.23	0.55	0.83	0.97	1	0.92	0.94	0.82
96	0	0	0	0	0	0	0.02	0.15	0.15	0.61	0.72	1	1	0.91	0.81	1
97	0	0	0	0	0.01	0.02	0	0.18	0.15	0.45	0.8	1	0.97	1	0.81	0.92
98	0	0	0	0	0	0	0.03	0.11	0.18	0.6	0.78	1	0.97	0.87	0.95	0.86
99	0	0	0	0	0	0.02	0.03	0.1	0.17	0.48	0.82	0.94	0.97	0.9	0.9	1
100	0	0	0	0	0	0.01	0.01	0.1	0.22	0.43	0.85	1	1	0.95	0.81	1
101	0	0	0	0	0	0	0.02	0.12	0.23	0.54	0.79	0.97	0.97	0.94	0.91	0.89
102	0	0	0	0	0	0.01	0.01	0.17	0.17	0.59	0.85	0.96	0.97	0.84	0.91	1
103	0	0	0	0	0	0.01	0.01	0.17	0.15	0.56	0.76	1	0.96	0.89	0.92	0.92
104	0	0	0	0	0	0	0.02	0.14	0.16	0.52	0.93	0.94	0.97	1	0.83	1
105	0	0	0	0	0	0	0.02	0.13	0.22	0.48	0.75	0.96	1	1	0.8	1
106	0	0	0	0	0	0.01	0.03	0.09	0.18	0.73	0.71	0.97	0.97	0.86	0.93	1
107	0	0	0	0	0	0.01	0.01	0.15	0.14	0.52	0.76	0.97	0.97	0.91	0.84	1
108	0	0	0	0	0	0.01	0.02	0.12	0.17	0.61	0.88	0.97	1	0.8	0.92	1
109	0	0	0	0	0	0	0.03	0.11	0.22	0.55	0.8	0.94	1	0.86	0.92	0.83
110	0	0	0	0	0	0.01	0.01	0.12	0.26	0.36	0.84	1	0.93	0.91	0.88	1
111	0	0	0	0	0.01	0.01	0.03	0.1	0.19	0.56	0.82	0.93	1	0.91	0.92	0.9
112	0	0	0	0	0.01	0	0.02	0.12	0.21	0.64	0.74	0.96	1	0.96	0.88	0.82
113	0	0	0	0	0.01	0.01	0.01	0.11	0.19	0.6	0.8	0.97	1	0.88	0.91	0.86
114	0	0	0	0.01	0	0.01	0.02	0.09	0.23	0.59	0.85	1	1	0.88	0.96	0.71
115	0	0	0	0	0	0.02	0.02	0.08	0.24	0.59	0.8	0.97	0.97	0.88	0.94	1
116	0	0	0	0	0	0.01	0.02	0.14	0.17	0.55	0.84	0.96	0.95	0.91	0.87	1
117	0	0	0	0	0	0.02	0.02	0.13	0.17	0.52	0.81	1	0.97	1	0.9	0.78
118	0	0	0	0	0	0	0.03	0.11	0.19	0.48	0.77	0.97	1	0.83	0.94	1
119	0	0	0	0	0	0	0.01	0.15	0.18	0.61	0.76	1	0.96	0.92	0.94	0.9
120	0	0	0	0	0.01	0.01	0.01	0.1	0.22	0.61	0.84	0.93	0.97	0.95	0.89	0.8
121	0	0	0	0.01	0	0.01	0.01	0.14	0.15	0.48	0.82	0.97	1	0.86	0.94	0.9
122	0	0	0	0	0	0.01	0.02	0.1	0.18	0.5	0.84	0.93	1	0.89	0.89	0.9
123	0	0	0	0	0	0	0.02	0.14	0.2	0.64	0.72	0.97	0.94	0.87	1	0.83
124	0	0	0	0.01	0	0.01	0.02	0.13	0.17	0.45	0.82	1	0.91	0.95	0.87	1
125	0	0	0	0	0	0.01	0.02	0.13	0.17	0.45	0.86	0.96	0.97	1	0.8	1
126	0	0	0	0	0	0	0.02	0.14	0.2	0.5	0.82	0.97	0.97	0.95	0.9	0.88
127	0	0	0	0	0	0	0.02	0.15	0.2	0.57	0.79	0.97	0.97	0.94	0.86	1
128	0	0	0	0	0	0.01	0.01	0.1	0.25	0.58	0.71	0.97	1	0.95	0.93	0.8
129	0	0	0	0	0.02	0.01	0.02	0.11	0.18	0.53	0.79	0.92	1	0.88	0.91	1
130	0	0	0	0	0	0	0.02	0.12	0.22	0.55	0.75	0.97	1	1	0.78	1
131	0	0	0	0	0	0	0.03	0.12	0.17	0.63	0.82	0.94	1	0.91	0.95	0.88
132	0	0	0	0	0	0.01	0.02	0.13	0.19	0.63	0.69	0.95	0.97	1	0.87	0.88
133	0	0	0	0	0	0.01	0.02	0.09	0.25	0.56	0.87	0.96	1	0.91	0.94	0.86
134	0	0	0	0	0.01	0.01	0.02	0.09	0.22	0.62	0.76	0.96	1	0.83	0.94	1
135	0	0	0	0	0.01	0.01	0.01	0.14	0.17	0.63	0.69	1	0.91	1	0.87	0.91
136	0	0	0	0	0	0.01	0.03	0.13	0.17	0.54	0.78	1	1	0.88	0.91	0.89
137	0	0	0	0	0	0.02	0.04	0.07	0.21	0.4	0.84	1	1	0.92	0.83	1
138	0	0	0	0	0	0.01	0.03	0.11	0.22	0.52	0.79	0.97	1	0.84	0.87	1
139	0	0	0	0	0	0	0.03	0.12	0.15	0.53	0.87	1	0.96	0.95	0.86	1
140	0	0	0	0	0	0.01	0.04	0.11	0.17	0.57	0.81	0.93	1	0.95	0.88	1
141	0	0	0	0	0	0	0.03	0.12	0.2	0.48	0.83	1	1	0.67	1	0.9
142	0	0	0	0	0	0.02	0.01	0.11	0.21	0.55	0.73	0.96	0.95	1	0.83	1
143	0	0	0	0	0	0.01	0.01	0.12	0.23	0.55	0.74	1	0.96	0.89	0.89	1
144	0	0	0	0	0	0	0.01	0.15	0.17	0.55	0.68	0.94	1	0.93	0.93	0.88
145	0	0	0	0	0	0	0.03	0.12	0.18	0.53	0.77	0.98	0.97	0.91	0.88	1
146	0	0	0	0	0	0.01	0.03	0.14	0.16	0.44	0.79	1	0.97	0.95	0.81	1
147	0	0	0	0	0	0.01	0.02	0.12	0.19	0.59	0.7	1	1	0.9	0.92	0.83
148	0	0	0	0	0.01	0.01	0.02	0.12	0.17	0.55	0.79	0.96	1	0.91	0.89	0.83
149	0	0	0	0	0	0	0.01	0.13	0.24	0.52	0.81	0.97	1	0.86	1	0.86
150	0	0	0	0	0	0	0.01	0.14	0.2	0.58	0.77	0.97	1	0.91	0.85	1
151	0	0	0	0	0.01	0	0.02	0.14	0.15	0.5	0.75	1	1	0.95	0.81	1
152	0	0	0	0	0	0.01	0.01	0.13	0.19	0.6	0.77	1	0.97	0.9	0.88	1
153	0	0	0	0	0	0	0.02	0.13	0.21	0.48	0.81	1	1	0.97	0.67	1
154	0	0	0	0	0	0.02	0.02	0.1	0.19	0.7	0.8	0.93	0.96	0.95	0.85	0.91
155	0	0	0	0	0.01	0.01	0.02	0.11	0.22	0.58	0.7	0.97	0.91	0.94	0.88	1
156	0	0	0	0.01	0	0.01	0.02	0.11	0.2	0.59	0.75	0.94	1	1	0.84	0.89
157	0	0	0	0	0	0.01	0.03	0.08	0.27	0.59	0.76	0.97	1	0.82	0.94	1
158	0	0	0	0	0	0	0.03	0.14	0.16	0.48	0.79	0.96	1	0.89	0.88	1
159	0	0	0	0	0	0	0.03	0.13	0.17	0.63	0.78	0.93	1	0.92	0.84	1
160	0	0	0	0	0	0.01	0.02	0.1	0.22	0.48	0.75	1	0.96	0.95	0.86	1
161	0	0	0	0	0	0	0.02	0.11	0.23	0.52	0.76	1	0.97	0.88	0.94	0.89
162	0	0	0	0	0.01	0	0.03	0.1	0.23	0.56	0.8	1	0.97	0.88	0.92	0.92
163	0	0	0	0	0	0	0.02	0.14	0.19	0.39	0.74	1	1	0.94	0.83	0.9
164	0	0	0	0	0	0	0.02	0.13	0.19	0.57	0.7	0.94	0.97	0.92	0.94	0.9
165	0	0	0	0	0.02	0	0.03	0.09	0.23	0.52	0.75	1	1	0.95	0.86	0.86
166	0	0	0	0	0	0.01	0.01	0.11	0.19	0.46	0.82	1	1	0.86	0.95	0.89
167	0	0	0	0	0	0	0.02	0.12	0.21	0.43	0.76	1	1	0.88	0.95	0.83
168	0	0	0	0	0.01	0	0.02	0.13	0.2	0.54	0.7	1	0.97	0.88	0.93	0.9
169	0	0	0	0	0	0	0.01	0.12	0.2	0.48	0.8	0.9	1	0.92	0.95	0.83
170	0	0	0	0	0	0	0.02	0.14	0.2	0.52	0.8	0.97	0.97	0.81	0.95	1
171	0	0	0	0	0	0	0.02	0.11	0.23	0.61	0.72	1	0.97	1	0.77	1
172	0	0	0	0	0	0.01	0.02	0.12	0.2	0.56	0.79	1	1	0.82	1	0.83
173	0	0	0	0	0	0.01	0.02	0.16	0.13	0.46	0.84	0.94	0.97	0.89	0.89	1
174	0	0	0	0	0.01	0	0.01	0.13	0.18	0.62	0.82	0.93	1	0.89	0.89	1
175	0	0	0	0	0	0.01	0.02	0.11	0.22	0.5	0.78	0.96	1	0.9	0.89	1
176	0	0	0	0	0	0.01	0.02	0.12	0.19	0.38	0.93	0.97	1	0.9	0.81	1
177	0	0	0	0	0	0	0.03	0.1	0.2	0.58	0.76	1	0.97	0.9	0.86	1
178	0	0	0	0	0.01	0	0.03	0.11	0.2	0.46	0.77	1	0.97	0.94	0.89	0.92
179	0	0	0	0	0	0.01	0.01	0.14	0.18	0.56	0.82	0.97	1	0.91	0.84	1
180	0	0	0	0	0	0.01	0.02	0.1	0.26	0.49	0.72	0.97	0.97	0.9	0.93	0.89
181	0	0	0	0	0.01	0.01	0.03	0.11	0.19	0.5	0.79	1	0.95	0.89	0.9	1
182	0	0	0	0	0.01	0.01	0.02	0.16	0.12	0.41	0.93	0.94	0.97	0.89	0.87	1
183	0	0	0	0	0	0	0.01	0.12	0.19	0.56	0.81	0.97	0.97	0.94	0.88	0.91
184	0	0	0	0	0	0.01	0.01	0.1	0.24	0.53	0.86	1	0.97	0.93	0.93	0.91
185	0	0	0	0	0	0.01	0.02	0.14	0.19	0.56	0.8	1	1	0.95	0.76	1
186	0	0	0	0	0	0.01	0.02	0.15	0.15	0.48	0.79	0.97	0.97	0.88	0.95	0.88
187	0	0	0	0	0	0.01	0.02	0.13	0.19	0.58	0.79	0.93	1	0.89	0.91	1
188	0	0	0	0	0	0	0.01	0.16	0.2	0.52	0.93	0.94	0.97	0.95	0.87	0.92
189	0	0	0	0	0	0.01	0.03	0.12	0.16	0.61	0.71	0.97	1	0.92	0.89	1
190	0	0	0	0	0	0.01	0.05	0.12	0.14	0.41	0.81	1	1	0.85	0.94	0.89
191	0	0	0	0	0	0.01	0.03	0.09	0.24	0.64	0.74	1	1	0.85	0.95	0.83
192	0	0	0	0	0	0	0.01	0.13	0.2	0.53	0.79	1	1	0.76	1	0.83
193	0	0	0	0	0	0.01	0.02	0.11	0.18	0.58	0.84	0.93	0.97	0.88	0.93	0.91
194	0	0	0	0	0	0	0.03	0.11	0.19	0.56	0.74	1	1	0.89	0.9	0.75
195	0	0	0	0	0	0	0.03	0.09	0.24	0.64	0.76	1	0.97	0.93	0.92	0.88
196	0	0	0	0	0	0.01	0.02	0.11	0.22	0.57	0.73	0.97	1	0.82	0.95	0.89
197	0	0	0	0	0	0	0.03	0.14	0.15	0.52	0.81	1	1	0.88	0.85	1
198	0	0	0	0	0.01	0.01	0.01	0.13	0.21	0.54	0.78	0.96	0.97	0.92	0.82	1
199	0	0	0	0	0	0	0.03	0.13	0.19	0.55	0.73	0.94	1	0.86	1	0.91
200	0	0	0	0	0	0.01	0.01	0.13	0.19	0.56	0.87	0.96	1	0.86	0.91	1
201	0	0	0	0	0	0	0.03	0.11	0.2	0.56	0.79	1	1	0.89	0.85	1
202	0	0	0	0	0	0	0.02	0.13	0.19	0.53	0.79	1	0.94	0.95	0.89	0.86
203	0	0	0	0	0.01	0	0.03	0.08	0.22	0.4	0.78	0.97	0.97	1	0.82	0.86
204	0	0	0	0	0	0.01	0.03	0.1	0.21	0.52	0.79	1	0.94	0.93	0.93	1
205	0	0	0	0	0.01	0.01	0.02	0.13	0.19	0.4	0.91	1	1	0.84	0.89	1
206	0	0	0	0	0	0	0.01	0.12	0.22	0.55	0.77	0.95	1	0.88	0.83	0.88
207	0	0	0	0	0	0.01	0.01	0.12	0.22	0.7	0.75	0.97	1	0.92	0.93	0.9
208	0	0	0	0	0.01	0.01	0.02	0.12	0.16	0.43	0.86	0.97	0.97	1	0.78	1
209	0	0	0	0	0.01	0	0.02	0.11	0.23	0.54	0.79	1	0.96	0.9	0.91	1
210	0	0	0	0	0	0.01	0.02	0.11	0.23	0.52	0.74	1	0.97	0.89	0.83	1
211	0	0	0	0	0	0	0.03	0.12	0.17	0.46	0.76	0.96	1	0.75	0.95	1
212	0	0	0	0	0	0	0.02	0.12	0.19	0.48	0.84	0.95	0.96	0.91	0.89	1
213	0	0	0	0	0	0.01	0.01	0.15	0.18	0.52	0.71	1	0.96	0.91	1	0.85
214	0	0	0	0	0	0	0.02	0.11	0.23	0.51	0.8	1	0.97	0.87	0.93	0.91
215	0	0	0	0	0	0.02	0.02	0.12	0.18	0.56	0.71	1	1	0.95	0.83	0.92
216	0	0	0	0	0.01	0	0.03	0.09	0.25	0.59	0.69	1	0.97	1	0.85	1
217	0	0	0	0	0	0.02	0.02	0.12	0.14	0.55	0.77	0.96	1	0.89	0.87	1
218	0	0	0	0	0.01	0	0.02	0.13	0.15	0.61	0.83	0.93	0.97	0.95	0.88	0.92
219	0	0	0	0	0	0.01	0.01	0.14	0.17	0.65	0.64	0.97	1	0.85	0.94	0.88
220	0	0	0	0	0	0.01	0.01	0.14	0.16	0.56	0.83	1	0.97	0.92	0.82	1
221	0	0	0	0	0	0	0.03	0.13	0.14	0.68	0.73	0.97	1	1	0.8	1
222	0	0	0	0	0.02	0	0.01	0.14	0.18	0.61	0.68	0.97	0.97	0.88	0.9	1
223	0	0	0	0	0	0	0.03	0.11	0.16	0.46	0.87	0.97	1	1	0.76	1
224	0	0	0	0	0.01	0.02	0.01	0.12	0.18	0.5	0.76	1	0.97	0.94	0.85	1
225	0	0	0	0	0	0.01	0.02	0.15	0.13	0.57	0.79	0.97	0.97	0.91	0.87	1
226	0	0	0	0	0	0.01	0.02	0.12	0.16	0.56	0.82	1	1	0.87	0.86	1
227	0	0	0	0	0	0.01	0.01	0.13	0.19	0.59	0.75	0.97	0.97	0.87	0.94	1
228	0	0	0	0	0	0.01	0.02	0.11	0.22	0.48	0.77	0.97	1	0.82	0.92	1
229	0	0	0	0	0	0	0.03	0.11	0.21	0.55	0.84	1	0.97	1	0.8	1
230	0	0	0	0	0	0	0.01	0.14	0.19	0.62	0.81	0.89	1	0.9	0.81	1
231	0	0	0	0	0	0	0.02	0.12	0.21	0.53	0.75	1	1	0.96	0.71	1
232	0	0	0	0	0	0.01	0.01	0.13	0.19	0.53	0.81	0.96	0.94	1	0.89	0.88
233	0	0	0	0	0	0	0.03	0.09	0.25	0.6	0.76	0.97	0.97	0.96	0.82	1
234	0	0	0	0	0	0	0.03	0.09	0.19	0.48	0.83	0.97	0.97	0.92	0.9	1
235	0	0	0	0	0	0.01	0.02	0.09	0.21	0.61	0.73	1	0.96	0.88	0.93	1
236	0	0	0	0	0	0.02	0.01	0.11	0.19	0.41	0.85	1	0.96	0.86	0.94	0.92
237	0	0	0	0	0	0	0.01	0.14	0.19	0.5	0.79	0.93	1	0.91	0.82	1
238	0	0	0	0	0	0.01	0.01	0.13	0.21	0.56	0.82	0.96	0.97	0.95	0.85	1
239	0	0	0	0	0	0.01	0.03	0.12	0.17	0.5	0.81	0.93	1	0.9	0.82	1
240	0	0	0	0	0.01	0.01	0.02	0.14	0.15	0.48	0.83	1	0.97	0.94	0.88	1
241	0	0	0	0	0	0	0.03	0.09	0.21	0.57	0.8	0.91	1	0.95	0.9	0.89
242	0	0	0	0	0	0	0.02	0.12	0.2	0.55	0.84	0.94	0.97	0.9	0.9	1
243	0	0	0	0	0	0	0.01	0.14	0.19	0.61	0.76	1	0.94	0.92	0.86	1
244	0	0	0	0	0	0.02	0.02	0.11	0.21	0.52	0.79	1	1	0.88	0.82	1
245	0	0	0	0	0	0.01	0.02	0.11	0.23	0.48	0.78	0.97	1	0.95	0.84	1
246	0	0	0	0	0	0.01	0.02	0.14	0.16	0.48	0.79	0.97	1	0.86	0.93	0.88
247	0	0	0	0	0.01	0	0.03	0.11	0.16	0.46	0.83	1	0.96	0.88	0.94	0.89
248	0	0	0	0	0	0.01	0.01	0.1	0.26	0.53	0.81	1	1	0.88	0.88	0.83
249	0	0	0	0	0.02	0	0.02	0.14	0.19	0.5	0.81	1	0.97	0.95	0.89	0.8
250	0	0	0	0	0	0.01	0.02	0.15	0.14	0.5	0.72	1	1	0.95	0.88	0.78
251	0	0	0	0	0	0.01	0.01	0.12	0.21	0.67	0.71	1	0.97	0.9	0.8	1
252	0	0	0	0	0	0	0.02	0.09	0.27	0.43	0.83	0.97	0.97	0.94	0.86	1
253	0	0	0	0	0	0.01	0.02	0.11	0.19	0.52	0.79	0.97	1	0.93	0.89	0.89
254	0	0	0	0	0	0	0.03	0.13	0.16	0.58	0.74	0.97	0.97	0.94	0.87	1
255	0	0	0	0	0.01	0	0	0.15	0.19	0.59	0.86	1	0.94	0.89	0.85	1
256	0	0	0	0	0	0.01	0.03	0.11	0.21	0.46	0.87	0.97	1	0.89	0.89	1
257	0	0	0	0	0	0	0.02	0.13	0.2	0.52	0.76	1	0.96	0.89	0.96	0.33
258	0	0	0	0	0	0	0.02	0.14	0.17	0.62	0.67	0.98	0.97	0.95	0.8	1
259	0	0	0	0	0	0.02	0.01	0.13	0.15	0.59	0.83	0.96	0.97	0.84	0.89	1
260	0	0	0	0	0	0.02	0.02	0.14	0.14	0.43	0.83	1	1	0.95	0.82	1
261	0	0	0	0	0	0.01	0.01	0.14	0.21	0.54	0.72	1	0.96	0.91	0.95	0.71
262	0	0	0	0	0	0	0.02	0.12	0.17	0.6	0.73	0.97	1	1	0.87	0.75
263	0	0	0	0	0	0	0.02	0.11	0.19	0.65	0.77	1	1	0.93	1	0.5
264	0	0	0	0	0	0.02	0.02	0.13	0.18	0.67	0.74	0.96	0.97	0.87	1	0.89
265	0	0	0	0	0	0.02	0.02	0.14	0.13	0.53	0.81	1	1	0.92	0.89	0.89
